start	end	direction	name	gene_id	type	colour
1286807	1287304	+	hypothetical protein	Rhizo1005_gene_1211	gene	#000000B3
1287417	1288289	+	ada	Rhizo1005_gene_1212	gene	#000000B3
1288419	1289054	-	PGAM, gpmA	Rhizo1005_gene_1213	gene	#000000B3
1289084	1289902	-	dapB	Rhizo1005_gene_1214	gene	#000000B3
1289918	1291729	-	ABCB-BAC	Rhizo1005_gene_1215	gene	#000000B3
1291833	1292858	-	glk	Rhizo1005_gene_1216	gene	#000000B3
1292909	1293283	-	mgsA	Rhizo1005_gene_1217	gene	#000000B3
1293394	1294452	-	mepA	Rhizo1005_gene_1218	gene	#000000B3
1294664	1296514	+	yejA	Rhizo1005_gene_1219	gene	#000000B3
1296684	1297775	+	yejB	Rhizo1005_gene_1220	gene	#000000B3
1297775	1298917	+	yejE	Rhizo1005_gene_1221	gene	#000000B3
1298926	1300554	+	yejF	Rhizo1005_gene_1222	gene	#000000B3
1300565	1301524	+	ghrA	Rhizo1005_gene_1223	gene	#000000B3
1301550	1301909	-	pfpI	Rhizo1005_gene_1224	gene	#000000B3
1302053	1302670	+	hypothetical protein	Rhizo1005_gene_1225	gene	#000000B3
1302660	1303109	-	GST, gst	Rhizo1005_gene_1226	gene	#000000B3
1303124	1304074	-	E1.1.1.91	Rhizo1005_gene_1227	gene	#000000B3
1304250	1305236	+	spnN, oleW	Rhizo1005_gene_1228	gene	#000000B3
1305307	1305537	-	hypothetical protein	Rhizo1005_gene_1229	gene	#000000B3
1305695	1306762	-	hypothetical protein	Rhizo1005_gene_1230	gene	#000000B3
1306762	1307025	-	hypothetical protein	Rhizo1005_gene_1231	gene	#000000B3
1307169	1308749	+	xseA	Rhizo1005_gene_1232	gene	#000000B3
1308761	1309351	+	NQO1	Rhizo1005_gene_1233	gene	#000000B3
1309425	1309775	+	hypothetical protein	Rhizo1005_gene_1234	gene	#000000B3
1309782	1310636	+	ykfC	Rhizo1005_gene_1235	gene	#000000B3
1310647	1311834	-	tetA	Rhizo1005_gene_1236	gene	#000000B3
1312765	1313652	-	K13652	Rhizo1005_gene_1237	gene	#000000B3
1313784	1314527	+	fabG	Rhizo1005_gene_1238	gene	#000000B3
